genre,color,size,left,top
christmas instrumental,"rgb(62, 166, 163)",101%,765px,12426px
post-minimalism,"rgb(50, 163, 179)",102%,393px,14705px
german ccm,"rgb(121, 143, 37)",100%,704px,8520px
contemporary classical piano,"rgb(25, 155, 187)",100%,596px,15609px
russian jazz,"rgb(89, 141, 90)",100%,760px,13241px
marimba,"rgb(38, 181, 204)",100%,880px,15459px
asheville indie,"rgb(145, 138, 58)",100%,713px,8130px
trad jazz catala,"rgb(96, 138, 93)",100%,844px,14748px
venezuelan rock,"rgb(168, 128, 30)",101%,765px,6492px
folclore castilla y leon,"rgb(112, 148, 37)",100%,817px,11689px
austrian hip hop,"rgb(177, 125, 25)",101%,963px,6335px
argentine indie,"rgb(149, 137, 45)",104%,629px,7117px
scottish smallpipe,"rgb(118, 146, 122)",100%,247px,10591px
austindie,"rgb(164, 128, 52)",102%,490px,7092px
tajik traditional,"rgb(57, 153, 75)",100%,910px,14803px
vintage hawaiian,"rgb(75, 150, 123)",100%,855px,14315px
deep big room,"rgb(214, 121, 90)",107%,821px,1588px
israeli folk,"rgb(98, 148, 57)",100%,803px,12533px
indian rock,"rgb(164, 130, 58)",101%,690px,5271px
classic soundtrack,"rgb(70, 151, 159)",103%,311px,13456px
zeuhl,"rgb(126, 134, 112)",100%,516px,10774px
classify,"rgb(68, 169, 192)",104%,684px,12487px
deep filthstep,"rgb(203, 125, 110)",100%,790px,2027px
pibroch,"rgb(62, 162, 146)",100%,173px,13693px
classical horn,"rgb(27, 169, 187)",100%,407px,16047px
turkish metal,"rgb(195, 105, 62)",100%,417px,5307px
uk dnb,"rgb(217, 130, 142)",101%,1046px,1196px
indonesian hardcore,"rgb(228, 71, 67)",100%,382px,5619px
shimmer psych,"rgb(156, 134, 85)",101%,463px,7827px
deep flow,"rgb(172, 124, 35)",100%,988px,5322px
dark post-punk,"rgb(190, 121, 127)",101%,407px,2196px
dark wave,"rgb(179, 119, 88)",102%,482px,2971px
horrorcore,"rgb(184, 119, 15)",101%,984px,4535px
gypsy fusion,"rgb(172, 132, 67)",100%,928px,5447px
deep progressive house,"rgb(176, 148, 206)",100%,1225px,441px
vintage hollywood,"rgb(75, 140, 31)",100%,783px,15480px
danish contemporary classical,"rgb(29, 161, 135)",100%,366px,15606px
american primitive,"rgb(89, 162, 194)",100%,627px,12995px
oriental classical,"rgb(40, 159, 144)",100%,353px,15362px
american contemporary classical,"rgb(31, 158, 152)",101%,409px,15428px
disney portugues brasil,"rgb(126, 142, 24)",100%,760px,9292px
tongan pop,"rgb(105, 151, 49)",100%,865px,9886px
burmese traditional,"rgb(75, 159, 57)",100%,892px,15050px
lo star,"rgb(162, 130, 41)",100%,584px,6945px
swiss indie,"rgb(156, 136, 23)",102%,779px,5861px
country boogie,"rgb(95, 140, 27)",100%,1051px,13112px
kingston on indie,"rgb(168, 124, 37)",101%,520px,7904px
electronica cristiana,"rgb(191, 134, 61)",100%,770px,2014px
latin alternative,"rgb(176, 126, 21)",113%,776px,5146px
russian dnb,"rgb(209, 133, 157)",100%,990px,1406px
malaysian indie,"rgb(165, 130, 25)",102%,560px,6970px
chihuahua indie,"rgb(169, 129, 36)",101%,556px,5632px
ecuadorian indie,"rgb(154, 138, 55)",101%,704px,5562px
new romantic,"rgb(181, 119, 36)",111%,702px,3251px
waiata maori,"rgb(116, 145, 17)",100%,770px,8889px
beatdown,"rgb(214, 91, 39)",100%,445px,7066px
new jack swing,"rgb(153, 132, 7)",107%,941px,3749px
hollywood,"rgb(87, 143, 42)",109%,527px,13026px
early avant garde,"rgb(17, 168, 204)",101%,767px,15911px
canadian children's music,"rgb(105, 143, 6)",101%,1042px,9801px
icelandic indie,"rgb(116, 148, 68)",102%,533px,10381px
native american,"rgb(101, 140, 83)",102%,644px,11801px
kawaii edm,"rgb(212, 124, 78)",100%,627px,1787px
russian punk,"rgb(194, 109, 21)",101%,619px,4426px
cumbia pop,"rgb(187, 134, 3)",106%,1029px,4654px
slovenian pop,"rgb(158, 134, 16)",100%,715px,7056px
musica per bambini,"rgb(154, 137, 31)",100%,997px,5935px
garage psych,"rgb(172, 119, 101)",103%,378px,8010px
indie garage rock,"rgb(174, 121, 85)",106%,441px,8654px
keroncong,"rgb(128, 154, 35)",100%,638px,7978px
fussball,"rgb(202, 100, 44)",100%,520px,4619px
deep smooth jazz,"rgb(139, 150, 125)",100%,967px,6591px
oyun havasi,"rgb(176, 126, 11)",101%,978px,7722px
welsh folk,"rgb(74, 159, 46)",100%,799px,12509px
musica antigua,"rgb(43, 163, 90)",100%,488px,14942px
russian contemporary classical,"rgb(34, 154, 141)",100%,347px,15887px
czech contemporary classical,"rgb(35, 159, 123)",100%,380px,15557px
russian folk,"rgb(89, 137, 33)",100%,577px,14576px
andean flute,"rgb(128, 153, 88)",100%,763px,9676px
aggro chileno,"rgb(205, 98, 27)",100%,501px,5939px
indonesian indie pop,"rgb(155, 135, 54)",100%,579px,5975px
israeli indie,"rgb(144, 141, 48)",101%,586px,7578px
muziek voor kinderen,"rgb(114, 143, 29)",101%,1060px,8402px
etherpop,"rgb(131, 146, 56)",105%,522px,8081px
italian punk,"rgb(211, 90, 40)",100%,413px,6772px
isle of man indie,"rgb(120, 147, 43)",100%,544px,10974px
hard house,"rgb(233, 101, 168)",100%,997px,646px
vispop,"rgb(144, 139, 12)",100%,823px,7704px
christelijk,"rgb(95, 150, 72)",101%,387px,10604px
noise rock,"rgb(190, 86, 117)",102%,311px,8663px
trikiti,"rgb(156, 143, 66)",100%,1023px,8779px
turkish punk,"rgb(194, 110, 17)",100%,551px,5333px
estonian folk,"rgb(107, 157, 49)",100%,629px,11468px
hip house,"rgb(198, 119, 61)",106%,1089px,1157px
space rock,"rgb(166, 117, 124)",102%,343px,8888px
turkish instrumental,"rgb(116, 153, 128)",101%,572px,11593px
neo-industrial rock,"rgb(207, 101, 76)",100%,439px,1809px
dream pop,"rgb(148, 132, 111)",105%,313px,7308px
smooth jazz,"rgb(134, 143, 115)",103%,934px,7221px
acid jazz,"rgb(173, 123, 83)",100%,999px,3775px
dutch tech house,"rgb(194, 135, 177)",100%,1345px,475px
progressive groove metal,"rgb(222, 81, 72)",101%,271px,6389px
spanish metal,"rgb(214, 98, 29)",102%,325px,4705px
swiss metal,"rgb(217, 86, 74)",101%,233px,4668px
glam punk,"rgb(215, 83, 25)",101%,295px,6283px
huapango,"rgb(175, 136, 43)",101%,1129px,7624px
italian tenor,"rgb(68, 154, 27)",101%,340px,15863px
historic piano performance,"rgb(32, 160, 204)",100%,482px,16557px
twoubadou,"rgb(160, 141, 8)",100%,959px,7209px
german metal,"rgb(216, 89, 38)",105%,273px,4383px
brooklyn drill,"rgb(161, 143, 6)",109%,1122px,5112px
belgian singer-songwriter,"rgb(108, 146, 3)",101%,755px,12844px
classic afrobeat,"rgb(173, 122, 46)",100%,997px,9329px
electronicore,"rgb(226, 87, 26)",100%,240px,3230px
kikuyu gospel,"rgb(184, 130, 3)",100%,1003px,6098px
unblack metal,"rgb(211, 85, 99)",100%,204px,6821px
chicago hardcore,"rgb(226, 76, 62)",102%,284px,7054px
dancehall,"rgb(179, 135, 3)",106%,1115px,7223px
trio cubano,"rgb(117, 140, 35)",100%,1145px,12918px
swedish emo,"rgb(189, 112, 58)",100%,217px,7492px
australian shoegaze,"rgb(171, 125, 148)",100%,162px,7066px
italian opera,"rgb(45, 151, 44)",101%,343px,16328px
british industrial,"rgb(147, 114, 130)",100%,598px,7007px
bleep techno,"rgb(164, 128, 169)",100%,1060px,2086px
animal singing,"rgb(115, 147, 85)",100%,995px,7324px
brazilian metalcore,"rgb(230, 78, 52)",100%,280px,4050px
afghan traditional,"rgb(148, 128, 105)",100%,538px,14244px
renaissance,"rgb(32, 166, 87)",100%,267px,16132px
american 21st century classical,"rgb(42, 159, 124)",100%,332px,15338px
vintage swedish pop,"rgb(92, 146, 23)",101%,817px,13284px
celtic,"rgb(103, 150, 36)",103%,608px,12117px
breton folk,"rgb(127, 148, 72)",100%,581px,11493px
finnish modern jazz,"rgb(109, 148, 122)",100%,653px,12044px
bouncy house,"rgb(214, 115, 89)",101%,792px,1725px
magyar alternative,"rgb(186, 116, 32)",101%,606px,5234px
hard trance,"rgb(226, 106, 158)",100%,859px,863px
polish alternative,"rgb(149, 136, 34)",103%,690px,6615px
dutch indie,"rgb(149, 134, 32)",102%,577px,7726px
korean jazz,"rgb(90, 156, 82)",100%,844px,11896px
latvian indie,"rgb(149, 139, 45)",100%,596px,5914px
dansk lovsang,"rgb(115, 152, 28)",100%,560px,9154px
deep dnb,"rgb(209, 132, 163)",100%,1095px,1404px
vapor soul,"rgb(149, 148, 57)",108%,758px,4546px
italian progressive rock,"rgb(136, 136, 75)",100%,453px,11048px
djembe,"rgb(153, 122, 156)",100%,1264px,11648px
polish psychedelia,"rgb(139, 138, 139)",100%,401px,9290px
dark hardcore,"rgb(237, 89, 68)",100%,490px,1529px
indie rockism,"rgb(188, 127, 22)",102%,522px,2950px
funk,"rgb(149, 123, 31)",112%,900px,8340px
memphis soul,"rgb(123, 132, 24)",104%,890px,10136px
miami hip hop,"rgb(178, 131, 7)",111%,1058px,2971px
marimba mexicana,"rgb(148, 143, 80)",100%,1093px,8974px
zhongguo feng,"rgb(156, 145, 14)",102%,577px,5537px
cartoon,"rgb(123, 129, 5)",103%,1173px,8527px
swiss techno,"rgb(175, 148, 206)",100%,1343px,338px
dutch trance,"rgb(209, 122, 118)",103%,721px,1581px
deep adult standards,"rgb(87, 143, 11)",101%,693px,13598px
la pop,"rgb(151, 143, 20)",105%,772px,5371px
sufi chant,"rgb(86, 152, 43)",100%,584px,12629px
latin american baroque,"rgb(40, 164, 70)",100%,366px,15464px
metropopolis,"rgb(167, 136, 43)",110%,527px,4017px
chicago indie,"rgb(154, 128, 57)",102%,531px,8999px
deep neo-synthpop,"rgb(192, 129, 72)",100%,718px,1475px
thai indie,"rgb(172, 130, 18)",101%,621px,4306px
argentine reggae,"rgb(167, 138, 20)",103%,1027px,4246px
musica eletronica brasileira,"rgb(161, 146, 99)",100%,1075px,2541px
canto a tenore,"rgb(77, 131, 6)",100%,558px,15523px
galician indie,"rgb(158, 138, 28)",100%,577px,7080px
buffalo ny indie,"rgb(146, 131, 41)",100%,505px,10074px
sky room,"rgb(218, 121, 90)",103%,755px,1556px
indie cordoba,"rgb(141, 142, 26)",101%,751px,7890px
dark cabaret,"rgb(135, 134, 37)",101%,616px,10676px
ukulele,"rgb(106, 152, 87)",100%,1005px,11002px
uppsala indie,"rgb(167, 129, 37)",100%,529px,5803px
nz dnb,"rgb(205, 132, 144)",100%,882px,1775px
folk cantabria,"rgb(119, 141, 25)",100%,644px,12080px
japanese soul,"rgb(151, 136, 44)",101%,810px,5922px
neo metal,"rgb(214, 99, 44)",101%,425px,3940px
art rock,"rgb(152, 123, 51)",115%,533px,9550px
bedroom pop,"rgb(119, 149, 56)",108%,684px,8557px
korean indie rock,"rgb(171, 131, 49)",100%,494px,5414px
deep new wave,"rgb(175, 116, 40)",100%,680px,3079px
bass trap,"rgb(197, 132, 68)",107%,838px,2320px
japanese new wave,"rgb(181, 116, 36)",100%,579px,4438px
slowcore,"rgb(125, 136, 92)",105%,433px,9823px
disco polo,"rgb(194, 129, 20)",101%,943px,1775px
korean pop,"rgb(141, 146, 29)",106%,696px,7776px
brazilian lo-fi rock,"rgb(170, 114, 115)",100%,289px,8256px
zither,"rgb(89, 162, 172)",100%,1001px,14361px
psytech,"rgb(169, 148, 206)",100%,1303px,487px
electroacoustic composition,"rgb(83, 103, 120)",100%,382px,13404px
weightless,"rgb(155, 140, 148)",100%,855px,4304px
intelligent dance music,"rgb(154, 132, 173)",103%,774px,4496px
ballet class,"rgb(57, 169, 200)",101%,980px,13607px
erotica,"rgb(82, 157, 184)",100%,627px,9061px
lounge house,"rgb(117, 152, 195)",100%,902px,5205px
calypso,"rgb(92, 143, 13)",101%,821px,13388px
vocal jazz,"rgb(73, 145, 55)",109%,830px,14533px
liedermacher,"rgb(128, 130, 13)",103%,857px,10074px
catstep,"rgb(201, 130, 80)",105%,680px,2282px
instrumental math rock,"rgb(185, 117, 173)",101%,509px,8208px
chattanooga indie,"rgb(142, 137, 27)",100%,608px,7763px
classical countertenor,"rgb(39, 160, 21)",100%,443px,15778px
medieval ensemble,"rgb(49, 166, 65)",100%,330px,14511px
deep freestyle,"rgb(180, 127, 59)",100%,988px,1787px
korean metal,"rgb(199, 98, 62)",100%,353px,6245px
ottawa indie,"rgb(161, 128, 46)",100%,461px,7166px
french punk,"rgb(216, 92, 25)",100%,429px,4919px
redneck,"rgb(179, 131, 5)",105%,857px,3590px
classic dutch pop,"rgb(152, 134, 28)",100%,743px,6329px
post-disco,"rgb(170, 118, 22)",105%,995px,4308px
cancoes infantis,"rgb(148, 146, 3)",100%,1069px,5972px
landler,"rgb(116, 166, 99)",100%,900px,11543px
appenzeller folk,"rgb(119, 165, 65)",100%,507px,11825px
early reggae,"rgb(132, 141, 50)",100%,1152px,7747px
avant-garde,"rgb(39, 148, 126)",101%,389px,15416px
traditional english folk,"rgb(71, 161, 20)",100%,792px,13213px
deep vocal house,"rgb(200, 123, 48)",100%,949px,1282px
focus,"rgb(45, 168, 214)",107%,351px,14059px
spanish electropop,"rgb(194, 122, 44)",100%,934px,1580px
ann arbor indie,"rgb(140, 139, 32)",101%,565px,8348px
fort wayne indie,"rgb(169, 123, 58)",100%,473px,7986px
dance pop,"rgb(182, 130, 18)",145%,834px,2734px
latin,"rgb(173, 137, 5)",133%,959px,5618px
oslo indie,"rgb(150, 136, 53)",100%,445px,8312px
tatar folk,"rgb(82, 161, 28)",100%,611px,13189px
guatemalan pop,"rgb(171, 139, 15)",100%,974px,5335px
rock mato grosso do sul,"rgb(193, 112, 31)",100%,505px,5951px
indie r&b,"rgb(131, 148, 27)",111%,838px,7103px
new wave pop,"rgb(169, 125, 23)",114%,704px,4266px
polish post-punk,"rgb(180, 118, 46)",100%,542px,5902px
pinoy rock,"rgb(153, 133, 20)",105%,593px,7228px
bornesange,"rgb(124, 141, 11)",100%,1095px,8027px
nu gaze,"rgb(174, 121, 118)",105%,293px,5815px
spanish post-punk,"rgb(192, 113, 90)",100%,340px,4742px
r&b,"rgb(157, 136, 6)",119%,920px,4316px
folclore portugues,"rgb(134, 141, 17)",100%,799px,9365px
slovenian folk,"rgb(140, 142, 41)",100%,980px,9723px
vintage italian pop,"rgb(76, 152, 35)",100%,641px,14791px
complextro,"rgb(198, 125, 87)",105%,819px,1964px
goa trance,"rgb(221, 123, 187)",100%,867px,744px
soundtrack,"rgb(61, 155, 193)",108%,246px,12423px
crack rock steady,"rgb(219, 88, 37)",100%,451px,6982px
lawrence ks indie,"rgb(153, 133, 47)",100%,503px,9489px
rap cristiano,"rgb(181, 135, 9)",102%,976px,4962px
vapor pop,"rgb(152, 144, 39)",102%,660px,4696px
belarusian rock,"rgb(187, 118, 19)",100%,593px,4619px
canadian soundtrack,"rgb(61, 157, 191)",102%,222px,11992px
chinese instrumental,"rgb(78, 166, 133)",100%,391px,11581px
classic danish pop,"rgb(145, 136, 13)",102%,781px,7458px
instrumental soul,"rgb(132, 135, 143)",101%,995px,9898px
metal catala,"rgb(213, 92, 80)",100%,291px,4832px
english baroque,"rgb(40, 161, 89)",101%,409px,15200px
chinese viral pop,"rgb(144, 152, 28)",101%,827px,4821px
deep comedy,"rgb(157, 74, 1)",101%,1071px,14447px
canadian choir,"rgb(29, 160, 102)",100%,181px,16340px
russian pop punk,"rgb(222, 98, 13)",100%,389px,3100px
modern progressive rock,"rgb(137, 142, 69)",100%,334px,8590px
chicago pop punk,"rgb(214, 96, 24)",101%,302px,4284px
tolkien metal,"rgb(209, 85, 102)",101%,176px,6123px
japanese death metal,"rgb(232, 65, 128)",100%,174px,5828px
german grindcore,"rgb(233, 58, 119)",100%,224px,5598px
cumbia lagunera,"rgb(176, 140, 9)",101%,1157px,5698px
murga,"rgb(181, 95, 1)",100%,908px,11332px
red dirt,"rgb(160, 137, 4)",102%,522px,6241px
modern swing,"rgb(116, 123, 99)",100%,1042px,12897px
euskal metal,"rgb(220, 89, 55)",100%,304px,4148px
italian hardcore,"rgb(231, 61, 71)",100%,233px,8410px
action rock,"rgb(226, 81, 33)",100%,211px,6098px
colombian black metal,"rgb(216, 65, 131)",100%,127px,8528px
glam metal,"rgb(206, 95, 22)",108%,313px,5975px
north carolina emo,"rgb(196, 110, 30)",100%,306px,5562px
carnatic vocal,"rgb(124, 135, 23)",100%,721px,14619px
folclore jujeno,"rgb(116, 150, 23)",100%,955px,11702px
kleine hoerspiel,"rgb(117, 107, 3)",107%,1237px,11497px
kaseko,"rgb(179, 128, 14)",100%,949px,9092px
tennessee metal,"rgb(213, 85, 96)",100%,229px,7211px
latin metal,"rgb(212, 95, 31)",102%,323px,6184px
nwobhm,"rgb(219, 80, 43)",103%,258px,7640px
folklore veracruzano,"rgb(153, 139, 21)",100%,990px,11820px
birmingham metal,"rgb(209, 76, 75)",103%,213px,7727px
musica potosina,"rgb(178, 135, 9)",101%,1089px,8213px
opera chorus,"rgb(72, 134, 42)",100%,357px,16427px
glitch beats,"rgb(151, 135, 163)",100%,890px,4134px
ghoststep,"rgb(180, 136, 164)",100%,1079px,1392px
nursery,"rgb(73, 163, 73)",102%,986px,9996px
braindance,"rgb(172, 131, 185)",101%,941px,2790px
experimental techno,"rgb(178, 136, 196)",100%,997px,1927px
japanese idm,"rgb(159, 128, 159)",100%,859px,5371px
german electronica,"rgb(136, 146, 173)",100%,955px,3507px
melodipop,"rgb(154, 136, 13)",101%,836px,6085px
torch song,"rgb(64, 150, 13)",103%,772px,14899px
canzone genovese,"rgb(93, 149, 13)",101%,629px,12856px
swedish jazz,"rgb(80, 153, 82)",102%,733px,12832px
austropop,"rgb(143, 129, 11)",102%,886px,8416px
musica aragonesa,"rgb(164, 128, 15)",101%,715px,8266px
vintage gospel,"rgb(79, 134, 27)",100%,943px,15308px
belgian dance,"rgb(205, 124, 83)",102%,916px,1306px
russian romance,"rgb(90, 147, 14)",100%,619px,13521px
channel islands indie,"rgb(151, 138, 34)",101%,586px,8031px
christian afrobeat,"rgb(175, 134, 7)",100%,892px,4933px
sefardi,"rgb(87, 157, 29)",100%,581px,12721px
rock tico,"rgb(192, 115, 25)",100%,488px,5130px
norwegian indie,"rgb(134, 141, 23)",104%,586px,8853px
rome indie,"rgb(151, 139, 48)",102%,593px,7055px
pop,"rgb(174, 134, 15)",160%,799px,3558px
musikkorps,"rgb(121, 114, 154)",100%,832px,13822px
rochester ny indie,"rgb(165, 122, 42)",100%,478px,8630px
italo dance,"rgb(210, 122, 44)",103%,1018px,1083px
polyphonies corses,"rgb(86, 157, 12)",100%,351px,13047px
social media pop,"rgb(168, 137, 7)",109%,906px,3848px
musica alagoana,"rgb(137, 144, 14)",101%,871px,8304px
classic soul,"rgb(126, 130, 15)",108%,817px,11073px
tatar pop,"rgb(178, 136, 5)",100%,707px,4684px
vintage western,"rgb(90, 138, 76)",100%,1113px,13004px
traditional ska,"rgb(155, 134, 41)",100%,1071px,8238px
san diego rap,"rgb(169, 129, 3)",101%,1088px,6009px
gotlandsk musik,"rgb(113, 145, 35)",100%,586px,11431px
polish contemporary classical,"rgb(33, 157, 141)",100%,276px,15618px
swedish prog,"rgb(129, 139, 56)",100%,556px,11505px
instrumental rock,"rgb(174, 112, 132)",103%,421px,9439px
balfolk,"rgb(118, 154, 56)",100%,553px,11345px
deep jazz fusion,"rgb(140, 134, 161)",100%,760px,8876px
latin christian,"rgb(152, 139, 18)",105%,647px,6797px
phoenix indie,"rgb(176, 122, 36)",100%,453px,6303px
bosnian indie,"rgb(173, 125, 26)",100%,799px,5346px
finnish dance pop,"rgb(177, 130, 5)",105%,779px,4241px
scandipop,"rgb(169, 140, 29)",105%,949px,2605px
country gospel,"rgb(89, 148, 16)",101%,912px,12897px
oth indie,"rgb(143, 140, 35)",100%,507px,7590px
speedcore,"rgb(234, 74, 99)",100%,565px,1855px
sudanese pop,"rgb(154, 137, 51)",101%,965px,5720px
swedish alternative rock,"rgb(192, 114, 23)",104%,447px,4659px
pop argentino,"rgb(167, 138, 7)",104%,801px,4564px
dunedin indie,"rgb(148, 130, 79)",101%,457px,10343px
classic iskelma,"rgb(120, 143, 7)",102%,723px,10505px
welsh indie,"rgb(157, 131, 45)",101%,459px,7802px
swedish eurodance,"rgb(204, 118, 19)",101%,849px,2002px
belgian indie,"rgb(145, 138, 50)",101%,531px,6808px
bulgarian hip hop,"rgb(178, 134, 30)",100%,1068px,2322px
afrobeat,"rgb(157, 128, 82)",103%,993px,8278px
southern soul,"rgb(130, 129, 15)",106%,840px,10061px
noise pop,"rgb(178, 111, 89)",103%,310px,7640px
japanese rockabilly,"rgb(207, 98, 26)",100%,488px,5656px
classic russian pop,"rgb(161, 130, 8)",101%,825px,5910px
south african jazz,"rgb(132, 141, 53)",100%,882px,8741px
visor,"rgb(73, 153, 10)",101%,871px,13908px
uzbek traditional,"rgb(58, 159, 52)",100%,728px,15071px
geek folk,"rgb(108, 145, 17)",100%,803px,11321px
classical saxophone,"rgb(40, 168, 173)",100%,384px,15062px
mundart,"rgb(164, 131, 11)",101%,861px,6141px
kindermusik,"rgb(125, 138, 23)",103%,1060px,8678px
harp,"rgb(61, 170, 167)",100%,751px,14253px
string folk,"rgb(67, 172, 140)",100%,718px,13330px
oxford indie,"rgb(164, 130, 57)",104%,427px,6686px
uk alternative pop,"rgb(148, 141, 29)",104%,693px,5790px
hungarian punk,"rgb(217, 92, 24)",100%,499px,4136px
new orleans indie,"rgb(143, 134, 62)",100%,471px,10480px
polish indie,"rgb(149, 141, 53)",101%,627px,5550px
rva indie,"rgb(151, 134, 52)",100%,531px,8840px
bath indie,"rgb(151, 128, 38)",100%,509px,8853px
croatian indie,"rgb(169, 130, 29)",100%,581px,6476px
danish singer-songwriter,"rgb(118, 149, 30)",100%,579px,10798px
spanish indie rock,"rgb(192, 114, 62)",100%,378px,5864px
swiss hip hop,"rgb(173, 129, 16)",101%,999px,5644px
tunisian pop,"rgb(181, 123, 11)",100%,797px,5451px
deathrock,"rgb(195, 103, 80)",100%,338px,4943px
bboy,"rgb(192, 123, 91)",102%,1088px,2180px
hardcore hip hop,"rgb(180, 113, 14)",109%,1097px,6274px
ambient idm,"rgb(142, 143, 179)",100%,684px,5488px
colombian electronic,"rgb(180, 139, 208)",100%,1098px,1245px
progressive trance,"rgb(211, 123, 130)",104%,606px,1316px
belgian contemporary classical,"rgb(51, 157, 160)",100%,427px,15110px
lds youth,"rgb(118, 152, 22)",102%,567px,9215px
german dance,"rgb(202, 126, 44)",107%,922px,1431px
latin worship,"rgb(156, 138, 17)",105%,514px,6602px
rock paraibana,"rgb(179, 129, 58)",100%,606px,6303px
indian indie,"rgb(148, 142, 52)",102%,723px,6291px
australian rockabilly,"rgb(190, 110, 18)",100%,673px,8975px
pittsburgh indie,"rgb(161, 126, 44)",101%,467px,8962px
dansktop,"rgb(138, 138, 12)",101%,758px,8741px
swedish indie pop,"rgb(151, 141, 44)",103%,522px,6464px
classic persian pop,"rgb(124, 143, 30)",101%,668px,11505px
indie electropop,"rgb(148, 148, 25)",105%,743px,4913px
bulgarian pop,"rgb(185, 131, 13)",101%,906px,3190px
french folk pop,"rgb(149, 134, 13)",101%,876px,8265px
seattle hip hop,"rgb(166, 129, 29)",103%,957px,6603px
nz pop,"rgb(137, 146, 15)",105%,733px,6126px
j-rap,"rgb(184, 129, 19)",104%,930px,3922px
mellow gold,"rgb(136, 133, 13)",122%,598px,10505px
auckland indie,"rgb(162, 130, 46)",101%,469px,6098px
albanian pop,"rgb(177, 129, 8)",102%,902px,4975px
